ts,vault_id,count,mean_s194,stddev_s194
1681689600000,1006,1661,22.907887,3.935582
1681689600000,1009,1622,26.822441,2.80664
1681689600000,1016,1689,27.303139,5.3616843
1681689600000,1007,1619,25.767757,4.61037
1681689600000,1001,1592,18.16269,1.8001367
1681689600000,1013,1644,27.350973,5.6920404
1681689600000,1008,1692,29.187353,4.0428853
1681689600000,1018,1695,27.916224,4.2450113
1681689600000,1004,1669,19.736368,2.7906806
1681689600000,1002,1670,22.563473,2.593494
1681689600000,1017,1638,28.342491,5.4911885
1681689600000,1014,1681,26.443188,5.8113728
1681689600000,1005,1650,21.14,2.78988
1681689600000,1015,1704,26.26115,4.005629
1681689600000,1020,1642,25.856882,5.3637123
1681689600000,1000,1641,21.998173,2.4568172
1681689600000,1003,1642,18.397686,2.4016984
1681948800000,1001,1628,18.30774,1.8010409
1681948800000,1007,1614,25.98637,4.7499886
1681948800000,1013,1625,27.227692,5.6410446
1681948800000,1005,1673,21.393305,2.9530299
1681948800000,1020,1623,25.836105,5.267017
1681948800000,1008,1634,29.25459,4.048519
1681948800000,1012,1645,30.690578,6.4176574
1681948800000,1006,1712,22.977804,3.889925
1681948800000,1014,1635,26.465443,5.971328
1681948800000,1002,1661,22.708609,2.6104693
1681948800000,1017,1607,28.299316,5.458962
1681948800000,1010,1648,22.003641,2.7188191
1681948800000,1004,1682,19.860285,2.7532456
1681948800000,1009,1635,26.848318,2.8431346
1681948800000,1019,1692,27.960993,5.2452517
1681948800000,1011,1653,25.787054,6.3994403
1681948800000,1003,1679,18.450268,2.3095212
1681948800000,1016,1647,27.446266,5.459182
1681948800000,1018,1634,27.986536,4.2236805
1681948800000,1015,1669,26.16357,4.0418973
1681948800000,1000,1651,22.112053,2.3749487
