ts,vault_id1,failures1,failed_disks1,vault_id2,failures2,failed_disks2,vault_id3,failures3,failed_disks3,vault_id4,failures4,failed_disks4,vault_id5,failures5,failed_disks5,vault_id6,failures6,failed_disks6,vault_id7,failures7,failed_disks7,vault_id8,failures8,failed_disks8,vault_id9,failures9,failed_disks9,vault_id10,failures10,failed_disks10
1681171200000,1094,3,"['TOSHIBA MQ01ABF050,57HDTBU0T', 'TOSHIBA MG07ACA14TA,40N0A0B6F97G', 'TOSHIBA MG07ACA14TA,5070A09NF97G']",3001,2,"['WDC WUH721816ALE6L4,2CGZTVHP', 'WDC WUH721816ALE6L4,2CK3HBXJ']",2013,2,"['ST16000NM001G,ZL2NFXKQ', 'ST16000NM001G,ZL2NFZ3H']",2008,2,"['TOSHIBA MG08ACA16TA,8190A198FVKG', 'TOSHIBA MG08ACA16TEY,41B0A009FV8G']",1072,2,"['ST12000NM001G,ZLW0GQQL', 'ST12000NM001G,ZLW0H39V']",1125,2,"['HGST HUH721212ALN604,AAHEHZLH', 'HGST HUH721212ALN604,AAHLHDEH']",1117,2,"['TOSHIBA MG07ACA14TA,20W0A05RF97G', 'TOSHIBA MG07ACA14TA,1050A05NF97G']",1133,1,"['TOSHIBA MG07ACA14TA,X8H0A02ZF97G']",2002,1,"['TOSHIBA MG08ACA16TE,51R0A188FVGG']",1088,1,"['TOSHIBA MG07ACA14TA,5120A0SZF97G']"
1681257600000,2008,2,"['TOSHIBA MG08ACA16TA,8160A1MNFVKG', 'WDC WUH721816ALE6L0,2CHW6EMP']",1078,2,"['TOSHIBA MG07ACA14TA,Y0D0A00ZF97G', 'TOSHIBA MG07ACA14TA,Y0D0A02QF97G']",1100,2,"['ST12000NM001G,ZLW0H32B', 'ST12000NM0008,ZL0051HX']",1095,1,"['TOSHIBA MG07ACA14TA,7010A041F97G']",1069,1,"['TOSHIBA MG07ACA14TA,10W0A0K0F97G']",1018,1,"['ST4000DM000,Z304K13H']",1400,1,"['TOSHIBA MG07ACA14TA,61A0A03YF97G']",1129,1,"['HGST HUH721212ALE604,8DHR0GMH']",1044,1,"['ST8000NM0055,ZA1819Z0']",2000,1,"['TOSHIBA MG08ACA16TE,7180A129FVGG']"
1681344000000,1402,3,"['TOSHIBA MG08ACA16TA,8130A066FVKG', 'TOSHIBA MG08ACA16TA,8160A1Z9FVKG', 'TOSHIBA MG08ACA16TA,8160A2F6FVKG']",1406,3,"['ST16000NM001G,ZL2LTSXX', 'ST16000NM001G,ZL2308TC', 'ST16000NM001G,ZL22YR5M']",1010,3,"['ST4000DM000,S3010ZZ8', 'ST4000DM000,Z304KC24', 'ST4000DM000,Z3048KAY']",1077,3,"['WDC WUH721414ALE6L4,X0GG2YPC', 'WDC WUH721414ALE6L4,X0GEJ54C', 'WDC WUH721414ALE6L4,X0GDTADC']",1069,3,"['TOSHIBA MG07ACA14TA,10K0A0LVF97G', 'TOSHIBA MG07ACA14TA,10K0A0CKF97G', 'TOSHIBA MG07ACA14TA,10K0A0M1F97G']",1408,2,"['TOSHIBA MG08ACA16TA,8160A0TTFVKG', 'TOSHIBA MG08ACA16TA,81B0A008FVKG']",1081,2,"['ST16000NM001G,ZL22ZHSM', 'ST16000NM001G,ZL23Y3Z8']",1060,2,"['HGST HUH721212ALE604,5PHK78SD', 'TOSHIBA MG07ACA14TA,70E0A005F97G']",1065,2,"['ST12000NM0008,ZHZ4WTYZ', 'ST12000NM0008,ZHZ4XGPA']",1035,2,"['ST8000DM002,ZA12PTFX', 'ST8000DM002,ZA12KYZK']"
1681430400000,1075,2,"['ST14000NM001G,ZLW15T7L', 'ST14000NM001G,ZLW18EPT']",1042,2,"['ST8000NM0055,ZA13G9MH', 'ST8000NM0055,ZA139GKH']",1087,2,"['ST16000NM001G,ZL23XGFQ', 'ST16000NM001G,ZL23XS7F']",1014,2,"['ST4000DM000,Z304JP17', 'ST4000DM000,Z304JLCS']",1150,2,"['WDC WUH721414ALE6L4,X0GEPH2C', 'WDC WUH721414ALE6L4,X0GE0D5C']",1401,2,"['TOSHIBA MG07ACA14TA,6140A01UF97G', 'TOSHIBA MG07ACA14TA,6130A0NXF97G']",1054,2,"['ST8000NM0055,ZA18156G', 'ST8000NM0055,ZA1818KN']",1056,1,"['HGST HUH721212ALE604,5PHM24DD']",1073,1,"['TOSHIBA MG07ACA14TA,40X0A15GF97G']",1122,1,"['HGST HUH721212ALN604,AAGXR2DH']"
1681516800000,2017,3,"['TOSHIBA MG08ACA16TEY,8150A00GFV8G', 'ST16000NM001G,ZL2KAB7X', 'ST16000NM001G,ZL2K73X5']",2014,2,"['WDC WUH721816ALE6L0,2BJM7ZLD', 'WDC WUH721816ALE6L4,2BJ0ZHRN']",2013,2,"['ST16000NM001G,ZL2NFYTD', 'ST16000NM001G,ZL2K77ZH']",1073,2,"['TOSHIBA MG07ACA14TA,40X0A0DMF97G', 'TOSHIBA MG07ACA14TA,40K0A008F97G']",2008,2,"['TOSHIBA MG08ACA16TA,8190A0V4FVKG', 'TOSHIBA MG08ACA16TA,8190A1BWFVKG']",1125,1,"['HGST HUH721212ALN604,AAHBRK5H']",1147,1,"['TOSHIBA MG07ACA14TA,5080A0YAF97G']",1139,1,"['ST12000NM001G,ZLW0G5EG']",1169,1,"['WDC WUH721816ALE6L4,2BJ2USXN']",1069,1,"['TOSHIBA MG07ACA14TA,1080A0AMF97G']"
1681603200000,1158,3,"['WDC WUH721414ALE6L4,X1G93ASL', 'WDC WUH721414ALE6L4,X0GEZG0C', 'WDC WUH721414ALE6L4,X1G95SGL']",1080,3,"['WDC WUH721414ALE6L4,9LG60BYA', 'WDC WUH721414ALE6L4,9MG6P90J', 'WDC WUH721414ALE6L4,9LG5XLHA']",1010,3,"['ST4000DM000,Z304HZC9', 'HGST HMS5C4040ALE640,PL1331LAGRN4GH', 'ST4000DM000,Z304KEP2']",1060,2,"['HGST HUH721212ALE604,5PHL9X0D', 'TOSHIBA MG07ACA14TA,70E0A0X9F97G']",1057,2,"['HGST HUH721212ALE604,5PHKRLED', 'HGST HUH721212ALE604,5PHRE72D']",1065,2,"['ST12000NM0008,ZHZ4WPFY', 'ST12000NM0008,ZHZ4W3X8']",1409,2,"['WDC WUH721816ALE6L4,2BJ0ZLSN', 'WDC WUH721816ALE6L4,2CKGTRPN']",1401,2,"['TOSHIBA MG07ACA14TA,5130A02RF97G', 'TOSHIBA MG07ACA14TA,6120A03VF97G']",1408,2,"['TOSHIBA MG08ACA16TA,8160A02CFVKG', 'TOSHIBA MG08ACA16TA,8160A0AMFVKG']",1068,1,"['ST12000NM0008,ZHZ4WKCW']"
1681689600000,1406,3,"['ST16000NM001G,ZL22YR60', 'ST16000NM001G,ZL22ZHTP', 'ST16000NM001G,ZL2L8V9K']",1068,2,"['ST12000NM0008,ZHZ62GG5', 'ST12000NM0008,ZHZ62Z8H']",2010,2,"['TOSHIBA MG08ACA16TEY,71C0A02UFV8G', 'ST16000NM001G,ZL2NFZ9E']",2014,2,"['WDC WUH721816ALE6L4,2CKBEYGJ', 'TOSHIBA MG08ACA16TEY,71R0A0J5FV8G']",1128,2,"['ST12000NM001G,ZLW1BPR4', 'ST12000NM0007,ZJV4KZXE']",1049,2,"['HGST HMS5C4040BLE640,PL1331LAHGDTMH', 'HGST HMS5C4040BLE640,PL2331LAHDUNEJ']",3002,1,"['WDC WUH721816ALE6L4,2PGUGLAT']",1409,1,"['WDC WUH721816ALE6L4,2CKDG7RN']",1152,1,"['WDC WUH721414ALE6L4,QGK6NXPT']",1130,1,"['ST12000NM0008,ZHZ0PLZG']"
1681776000000,1044,3,"['ST8000NM0055,ZA18BTYA', 'ST8000NM0055,ZA16EFB3', 'ST8000NM0055,ZA180SKW']",1169,2,"['WDC WUH721816ALE6L4,2CKJBGMJ', 'WDC WUH721816ALE6L4,2BJ2DNMN']",1024,2,"['HGST HMS5C4040BLE640,PL2331LAH3WLWJ', 'HGST HMS5C4040BLE640,PL2331LAH11E0J']",2016,1,"['WDC WUH721816ALE6L4,2PH1R0AJ']",3003,1,"['WDC WUH721816ALE6L4,2PGTM3LJ']",1407,1,"['ST16000NM001G,ZL2MMEVE']",1049,1,"['HGST HMS5C4040BLE640,PL1331LAHES9NH']",1016,1,"['ST4000DM000,Z305ANVV']",1115,1,"['TOSHIBA MG07ACA14TA,60U0A001F97G']",1138,1,"['ST12000NM0008,ZHZ6621S']"
1681862400000,1124,2,"['ST500LM030,ZDED0ZLG', 'HGST HUH721212ALN604,2AGGHGJY']",2000,2,"['TOSHIBA MG08ACA16TE,71A0A319FVGG', 'TOSHIBA MG08ACA16TE,7190A5APFVGG']",1085,2,"['ST14000NM001G,ZL2CTZE1', 'WDC WUH721414ALE6L4,9LGWL7AG']",1063,2,"['TOSHIBA MG07ACA14TA,X880A08QF97G', 'TOSHIBA MG07ACA14TA,X870A0PDF97G']",1094,1,"['TOSHIBA MG07ACA14TA,40N0A0KNF97G']",3002,1,"['WDC WUH721816ALE6L4,2PGV6UDT']",2007,1,"['WDC WUH721816ALE6L0,2BHUKUZN']",1044,1,"['ST8000NM0055,ZA17TRD5']",1121,1,"['HGST HUH721212ALE604,5PHPLLND']",1075,1,"['ST14000NM001G,ZLW15TP1']"
1681948800000,1050,3,"['HGST HMS5C4040BLE640,PL1331LAHEPRGH', 'HGST HMS5C4040ALE640,PL1331LAHE76HH', 'HGST HMS5C4040ALE640,PL1331LAHGVNNH']",2002,2,"['TOSHIBA MG08ACA16TE,71A0A3Q4FVGG', 'TOSHIBA MG08ACA16TE,71A0A2LKFVGG']",1103,2,"['ST12000NM001G,ZL2HZAFF', 'ST12000NM001G,ZLW0SG50']",1088,1,"['TOSHIBA MG07ACA14TA,6130A07FF97G']",2008,1,"['TOSHIBA MG08ACA16TA,8160A20PFVKG']",1111,1,"['TOSHIBA MG07ACA14TA,88P0A04VF97G']",1119,1,"['ST12000NM0008,ZHZ623DX']",1024,1,"['HGST HMS5C4040BLE640,PL2331LAH44KLJ']",1068,1,"['ST12000NM0008,ZHZ522HR']",1091,1,"['ST8000NM0055,ZA189K1B']"
1682035200000,1168,2,"['TOSHIBA MG08ACA16TE,71A0A3HHFVGG', 'TOSHIBA MG08ACA16TE,51X0A019FVGG']",1160,2,"['TOSHIBA MG07ACA14TA,1160A00NF97G', 'TOSHIBA MG07ACA14TA,1170A03PF97G']",1169,1,"['WDC WUH721816ALE6L4,2CKJENDJ']",1054,1,"['ST8000NM0055,ZA180QEA']",1034,1,"['ST8000DM002,ZA10QN23']",1066,1,"['TOSHIBA MG07ACA14TA,X8X0A005F97G']",1077,1,"['WDC WUH721414ALE6L4,X0GEP3KC']",2001,1,"['TOSHIBA MG08ACA16TE,7190A4GLFVGG']",2007,1,"['CT250MX500SSD1,2140E5D8E490']",1008,1,"['ST4000DM000,Z302SYW9']"
1682121600000,1152,2,"['WDC WUH721414ALE6L4,X0GENKTC', 'WDC WUH721414ALE6L4,X0GDYENC']",1098,2,"['ST12000NM0008,ZL0052W7', 'ST12000NM0008,ZL0050ZA']",2012,2,"['WDC WUH721816ALE6L4,2CJEXM1J', 'WDC WUH721816ALE6L4,2CGEXS8P']",1141,2,"['TOSHIBA MG07ACA14TA,30C0A00JF97G', 'TOSHIBA MG07ACA14TA,40P0A0EYF97G']",1092,1,"['ST8000NM0055,ZA18AAT1']",1009,1,"['ST4000DM000,Z302SQ97']",1130,1,"['ST12000NM0008,ZHZ3RGNT']",1085,1,"['ST14000NM001G,ZL2CCCX9']",1080,1,"['WDC WUH721414ALE6L4,Y5HYMY2C']",1110,1,"['ST12000NM0008,ZHZ61ZS4']"
1682208000000,1013,4,"['ST4000DM000,Z304JGDQ', 'ST4000DM000,Z304HRSV', 'ST4000DM000,Z304HT16', 'ST16000NM001G,ZL2MV7AQ']",1021,4,"['ST4000DM000,Z305KVF1', 'ST4000DM000,Z305FPDC', 'ST4000DM000,Z305KBKG', 'ST4000DM000,Z305KBF5']",1019,4,"['HGST HMS5C4040ALE640,PL2331LAGRXG2J', 'ST4000DM000,Z3059PFQ', 'ST4000DM000,Z305AC6M', 'ST4000DM000,Z305EWP7']",1006,4,"['HGST HMS5C4040ALE640,PL2331LAGSU2MJ', 'ST4000DM000,S300YRXX', 'ST4000DM000,S300VLVX', 'ST4000DM000,S300Z63N']",1026,4,"['HGST HMS5C4040BLE640,PL2331LAHDUSWJ', 'HGST HMS5C4040BLE640,PL2331LAHDSNZJ', 'HGST HMS5C4040BLE640,PL2331LAHDWP4J', 'HGST HMS5C4040BLE640,PL2331LAHDNN4J']",1023,3,"['ST4000DM000,Z305JG66', 'ST4000DM000,Z304M62C', 'ST4000DM000,Z305KVMM']",1017,3,"['ST4000DM000,Z305CATQ', 'ST4000DM000,Z304QMQB', 'ST4000DM000,Z304VLGJ']",1007,3,"['ST4000DM000,S300YBS5', 'ST4000DM000,S300Z7CW', 'HGST HMS5C4040ALE640,PL1331LAGTWX2H']",1018,2,"['ST4000DM000,Z305B6F5', 'ST4000DM000,Z3057PL4']",1000,2,"['HGST HMS5C4040ALE640,PL1331LAGRZUZH', 'HGST HMS5C4040ALE640,PL1331LAGS050H']"
